Item Number – 8 digit,NDC Number,Size Qty,Retail Pack Quantity,AWP Price,Acquisition Price,Retail Price,WAC Price,Contract Flag,Generic Name,Form,Name,Size,%,MCG,M,IU,MEQ,UN,HR,MMOL,BP,CAL,USP,MU,Total_MG,Total_ML,Total_MM
10147348,38779234101,2500    ,1,89359,9853,14780,9853,N,potassium bromide,MISCELL PELL,POTASSIUM BROMIDE PEL,2500 GM,,,,,,,,,,,,,2500000.0,,
10147621,00536105227,510     ,1,1989,1107,1661,1107,N,polyethylene glycol 3350,ORAL,POLYETHYLEN GLYCOL,3350 PWD 51,,,,,,,,,,,,,,,
10025151,58914017014,420     ,1,30526,23475,0,25438,C,sucralfate,ORAL ORAL SUSP 1 G/,CARAFATE,1 GM-10 ML SUS 420 ML,,,,,,,,,,,,,1000.0,10.0,
10147664,62991295901,500     ,1,11250,2457,3686,2457,N,almond oil,MISCELL OIL,OIL ALMOND SWEET NF,500ML LIQU,,,,,,,,,,,,,,500.0,
10147660,10122082028,28X4    ,1,371146,186252,0,309288,C,tobramycin,INHALATION AMPUL-NE,BETHKIS,300MG AMP 28X4 ML,,,,,,,,,,,,,300.0,4.0,
10025164,07631430203,30X.29  ,1,937,835,1253,950,C,ascorbic acid/multivit-min,ORA,EMERGEN-C VIT C,1000MG ORANGE,,,,,,,,,,,,,1000.0,,
10147644,68084085401,100     ,1,19493,618,0,1185,C,carvedilol,ORAL TABLET 6.25 MG,CARVEDILOL,6.25 MG TAB 100 UD,,,,,,,,,,,,,6.25,,
10147616,60631008030,30      ,1,28188,21472,0,23490,C,azilsartan medoxomil,ORAL TABL,EDARBI,80 MG TAB 30,,,,,,,,,,,,,80.0,,
10025171,76314030201,30X.29  ,1,937,1045,1568,950,N,ascorbic acid/multivit-min,ORA,EMERGEN-C VIT C,1000MG RASPBER,,,,,,,,,,,,,1000.0,,
10025178,00032122401,100     ,1,94088,72394,0,78407,N,lipase/protease/amylase,ORAL C,CREON,24000 CAP 100,,,,,,,,,,,,,,,
10025179,65649051112,12      ,1,81715,62874,0,68096,N,hydrocortisone acetate,RECTAL,PROCTOCORT,30 MG SUP 12,,,,,,,,,,,,,30.0,,
10147675,00316018601,28.4    ,1,508,296,0,545,C,hydrocortisone,TOPICAL CREAM (,HYDROCORTISONE,1% CRM 28.4 GM,1.0,,,,,,,,,,,,28400.0,,
10147556,00078060715,30      ,1,1250759,1005819,0,1042299,N,fingolimod,HCl ORAL CAPSULE 0.,GILENYA HGC,0.5MG 30 CAPSULES,,,,,,,,,,,,,0.5,,
10147609,52747050130,30      ,1,3126,2406,0,2605,N,"iron fum,ps no.1/vit",C/L.casei,FUSION,30 CAPSULES,,,,,,,,,,,,,,,
10147770,31722071290,90      ,1,47404,829,0,1008,C,pantoprazole sodium,ORAL TABLE,PANTOPRAZOLE SOD,20 MG DR TAB,,,,,,,,,,,,,20.0,,
10147784,00904644961,100     ,1,16598,3512,0,3803,N,isosorbide mononitrate,ORAL TA,ISOSORBIDE MONONITRATE ER,30MG,,,,,,,,,,,,,30.0,,
10025195,00185075701,100     ,1,50474,29070,0,40379,C,sulfadiazine,ORAL TABLET 500 M,SULFADIAZINE,500 MG TAB 100,,,,,,,,,,,,,500.0,,
10147785,00904645061,100     ,1,20258,2822,0,4128,C,isosorbide mononitrate,ORAL TA,ISOSORBIDE MONONITRATE ER,60MG,,,,,,,,,,,,,60.0,,
10025199,57896020110,1000    ,1,1758,1368,2052,1368,N,acetaminophen,ORAL TABLET 500,ACETAMIN,500MG TABLET 1000CT G,,,,,,,,,,,,,500.0,,
10025208,59762171003,90      ,1,37494,11629,0,12595,N,eplerenone,ORAL TABLET 25 MG,EPLERENONE,25 MG TAB 90,,,,,,,,,,,,,25.0,,
10025209,80196030010,20      ,1,925,349,524,317,N,non-adherent bandage,TOPICAL B,CURAD PAD NON-STICK,"3""X4"" 20CT",,,,,,,,,,,,,,,
10147825,17478076106,60      ,1,35340,8970,0,10125,C,dronabinol,ORAL CAPSULE 2.5 MG,DRONABINOL,2.5 MG CAP 60,,,,,,,,,,,,,2.5,,
10147824,17478076206,60      ,1,73560,18694,0,21101,C,dronabinol,ORAL CAPSULE 5 MG,DRONABINOL,5 MG CAP 60,,,,,,,,,,,,,5.0,,
10025212,00682047516,16      ,1,8399,6463,0,6999,N,codeine phosphate/guaifenesin ,,MARCOF-CG EXP,16 OZ,,,,,,,,,,,,,453592.0,,
10147827,17478076306,60      ,1,135120,28738,0,32439,C,dronabinol,ORAL CAPSULE 10 MG,DRONABINOL,10 MG CAP 60,,,,,,,,,,,,,10.0,,
10025213,57896022110,1000    ,1,1770,1380,2070,1380,N,acetaminophen,ORAL TABLET 500,ACETAMIN,500MG TABLET 1000CT G,,,,,,,,,,,,,500.0,,
10025222,08222093158,100     ,1,4715,1577,2366,1433,N,"syringe and needle,insulin,1m",L,ULTICARE SYRINGE,"1/2"" 30GX1CC",,,,,,,,,,,,,30000.0,1.0,
10025224,80196030008,10      ,1,3848,185,278,168,N,non-adherent bandage,TOPICAL B,CURAD PAD NON-STICK,"3""X4"" 10CT",,,,,,,,,,,,,,,
10147876,63459091017,0.5     ,1,35952,25443,0,29960,C,tbo-filgrastim,SUBCUT SYRINGE,GRANIX INJ,300 MCG PFS 0.5 ML,,300.0,,,,,,,,,,,,0.5,
10147875,63459091217,0.8     ,1,57252,40516,0,47710,C,tbo-filgrastim,SUBCUT SYRINGE,GRANIX INJ,480 MCG PFS 0.8 ML,,480.0,,,,,,,,,,,,0.8,
10147873,63459091036,5X0.5   ,1,179760,127211,0,149800,C,tbo-filgrastim,SUBCUT SYRINGE,GRANIX INJ,300 MCG PFS 5X0.5 M,,300.0,,,,,,,,,,,,,
10147874,63459091236,5X0.8   ,1,286260,202577,0,238550,C,tbo-filgrastim,SUBCUT SYRINGE,GRANIX INJ,480 MCG PFS 5X0.8 M,,480.0,,,,,,,,,,,,,
10025233,00574703412,12      ,1,1750,1151,1727,1400,C,aspirin,RECTAL SUPP.RECT 300 M,ASPIRIN,300 MG SUP 12 UD,,,,,,,,,,,,,300.0,,
10025235,00574711612,12      ,1,11250,7229,0,9000,C,morphine sulfate,RECTAL SUPP.R,MORPHINE SULFATE,30 MG SUP 12,,,,,,,,,,,,,30.0,,
10025236,59762172001,30      ,1,12498,3877,0,4198,N,eplerenone,ORAL TABLET 50 MG,EPLERENONE,50 MG TAB 30,,,,,,,,,,,,,50.0,,
10025237,00574060115,15      ,1,12250,7920,0,9800,C,podophyllum resin,TOPICAL LIQU,PODOCON,25 % SOL 15 ML,25.0,,,,,,,,,,,,,15.0,
10025251,59676056301,480     ,1,251435,209529,0,209529,N,darunavir ethanolate,ORAL TABL,PREZISTA DS,75 MG TAB 480,,,,,,,,,,,,,75.0,,
10147921,00310620530,30      ,1,67835,42799,0,56529,C,dapagliflozin propanediol,ORAL,FARXIGA,5MG TAB 30,,,,,,,,,,,,,5.0,,
10147913,58181304005,5       ,1,62496,50258,0,52080,N,lomustine,ORAL CAPSULE 10 MG,GLEOSTINE,10 MG CAP 5,,,,,,,,,,,,,10.0,,
10147914,58181304105,5       ,1,249972,201020,0,208310,N,lomustine,ORAL CAPSULE 40 MG,GLEOSTINE,40 MG CAP 5,,,,,,,,,,,,,40.0,,
10147915,58181304205,5       ,1,690048,554914,0,575040,N,lomustine,ORAL CAPSULE 100 MG,GLEOSTINE,100 MG CAP 5,,,,,,,,,,,,,100.0,,
10147848,59676057530,30      ,1,287384,231105,0,239487,N,darunavir/cobicistat,ORAL TABL,PREZCOBIX TAB,30,,,,,,,,,,,,,,,
10025258,00642020790,90      ,1,29430,22644,0,24525,N,"mv,min10/folic acid/",D3/ALA/lut,STROVITE ONE CPL,90,,,,,,,,,,,,,,,
10147849,00093206701,100     ,1,14864,6862,0,7432,N,doxazosin mesylate,ORAL TABLET,DOXAZOSIN MESYLATE,8MG 100 TAB,,,,,,,,,,,,,8.0,,
10025259,59762172002,90      ,1,37494,11629,0,12595,N,eplerenone,ORAL TABLET 50 MG,EPLERENONE,50 MG TAB 90,,,,,,,,,,,,,50.0,,
10148011,00003364111,30      ,1,192656,148234,0,160547,N,atazanavir sulfate/cobicistat ,,EVOTAZ,300MG/150MG TAB 30,,,,,,,,,,,,,300.0,,
10147971,38779176403,5       ,1,762489,44550,0,44550,N,apomorphine,HCl MISCELL POWDER,APOMORPHINE HYDROCHLORIDE USP ,,,,,,,,,,,,,,,,
10147994,38779199908,500     ,1,106900,4107,6161,4107,N,apple flavor,MISCELL LIQUID,APPLE (FLAVOR) LIQ,500 ML DS,,,,,,,,,,,,,,500.0,
10148006,38779050209,1000    ,1,135400,8460,0,8460,N,arginine,MISCELL POWDER 100 %,ARGININE (L) USP PWD,1000 GM D,,,,,,,,,,,,,1000000.0,,
10147974,38779026408,500     ,1,102600,3150,0,3150,N,benzalkonium chloride,MISCELL,BENZALKONIUM CHLR SOL NF(,50%)L,50.0,,,,,,,,,,,,,,
10147968,38779006309,1000    ,1,218500,16560,0,16560,N,benzocaine,MISCELL POWDER,BENZOCAINE USP PWD,1000 GM DS,,,,,,,,,,,,,1000000.0,,
10147991,38779104005,100     ,1,14960,1592,2388,1592,N,betaine,MISCELL POWDER 100 %,BETAINE (ANHYDROUS) PWD,100 GM,,,,,,,,,,,,,100000.0,,
10147956,38779200400,0.5     ,1,7481,1350,0,1350,N,biotin,MISCELL POWDER 100 %,BIOTIN USP (VITAMIN H) PWD,0.5,,,,,,,,,,,,,,,
10147957,38779104708,500     ,1,203300,8951,13427,8951,N,bismuth subnitrate,MISCELL POW,BISMUTH SUBNITRATE USP PWD,500,,,,,,,,,,,,,,,
10147953,38779011405,100     ,1,57000,7380,0,7380,N,carbamazepine,MISCELL POWDER,CARBAMAZEPINE USP PWD,100 GM D,,,,,,,,,,,,,100000.0,,
10147967,38779006801,2500    ,1,166250,3060,0,3060,N,citric acid,MISCELL POWDER,CITRIC ACID USP (ANHYDROUS)PWD,,,,,,,,,,,,,,,,
10147950,38779118609,1000    ,1,598500,28633,42950,28633,N,citrulline,MISCELL POWDER,CITRULLINE (L) PWD,1000 GM DS,,,,,,,,,,,,,1000000.0,,
10147954,38779000605,100     ,1,326800,37800,0,37800,N,clindamycin phosphate,MISCELL,CLINDMYCN PHOSPHATE USP PWD,10,,,,,,,,,,,,,,,
10147980,38779066004,25      ,1,374063,28710,0,28710,N,cyclosporine,MISCELL POWDER,CYCLOSPORINE A USP PWD,25 GM D,,,,,,,,,,,,,25000.0,,
10147972,38779190501,10      ,1,134349,12870,0,12870,N,"dexamethasone acetate, micro",M,DEXAMETHAS ACET USP(ANHY)(MCR),,,,,,,,,,,,,,,,
10147985,38779190504,25      ,1,335873,27720,0,27720,N,"dexamethasone acetate, micro",M,DEXAMETHAS ACET USP(ANHY)(MCR),,,,,,,,,,,,,,,,
10148004,38779007105,100     ,1,1198240,54720,0,54720,N,dexamethasone sodium phosphate,,DEXAMETHASONE SOD PHOS USP PWD,,,,,,,,,,,,,,,,
10147961,38779035501,10      ,1,12711,2160,0,2160,N,dextromethorphan,HBr MISCELL P,DEXTROMETHORPHAN HYDROBR USP P,,,,,,,,,,,,,,,,
10147969,38779028208,500     ,1,278469,5475,8213,5475,N,diphenhydramine,HCl MISCELL PO,DIPHENHYDRAMINE HCL USP PWD,50,,,,,,,,,,,,,,,
10147959,38779022409,1000    ,1,1425000,27342,41013,27342,N,folic acid,MISCELL POWDER 100,FOLIC ACID USP PWD,1000 GM DS,,,,,,,,,,,,,1000000.0,,
10147992,38779246103,5000    ,1,29925000,347670,0,347670,N,gabapentin,MISCELL POWDER 100,GABAPENTIN USP PWD,5000 GM DS,,,,,,,,,,,,,5000000.0,,
10147970,38779007501,2500    ,1,3087500,42570,0,42570,N,hydroquinone,MISCELL POWDER,HYDROQUINONE USP PWD UD,2500 G,,,,,,,,,,,,,2500000.0,,
10147955,38779176901,4000    ,1,119600,6106,9159,6106,N,isopropyl alcohol,MISCELL SOLU,ISOPROPYL ALCOHOL,70% LIQ 4000,70.0,,,,,,,,,,,,,,
10147990,38779090601,4000    ,1,110400,9000,0,9000,N,isopropyl myristate,MISCELL LI,ISOPROPYL MYRISTATE NF LIQ,400,,,,,,,,,,,,,,,
10147973,38779083208,500     ,1,12100,1685,2528,1685,N,isopropyl palmitate,MISCELL LI,ISOPROPYL PALMITATE NF LIQ,500,,,,,,,,,,,,,,,
10148002,38779056501,4000    ,1,356400,10707,0,10707,N,lactic acid,MISCELL LIQUID 88%,LACTIC ACID USP (RACEMIC) LIQ ,,,,,,,,,,,,,,,,
10147983,38779008209,1000    ,1,427500,14310,0,14310,N,lidocaine,HCl MISCELL POWDER 1,LIDOCAINE HYDROCHLORIDE USP PW,,,,,,,,,,,,,,,,
10148010,38779230101,4000    ,1,665200,14913,22370,14913,N,lecithin/isopropyl palmitate,M,LIPMAX(LECITHIN&ISOPRP PALM)OI,,,,,,,,,,,,,,,,
10147999,38779059908,500     ,1,20220,3264,4896,3264,N,mannitol,MISCELL POWDER,MANNITOL (D) USP PWD,500 GM DS,,,,,,,,,,,,,500000.0,,
10147981,38779143908,500     ,1,145350,4680,0,4680,N,methylparaben,MISCELL POWDER,METHYLPARABEN NF PWD,500 GM DS,,,,,,,,,,,,,500000.0,,
10147960,38779057804,25      ,1,74813,4140,0,4140,N,metoprolol tartrate,MISCELL PO,METOPROLOL TARTRATE USP PWD,25,,,,,,,,,,,,,,,
10147996,38779057403,5000    ,1,19950000,354510,0,354510,N,minoxidil,MISCELL POWDER,MINOXIDIL USP PWD,5000 GM DS,,,,,,,,,,,,,5000000.0,,
10147976,38779071903,5       ,1,19974,6660,0,6660,N,5hydroxytryptophan(oxitriptan),,OXYTRIPTAN(L-,5-HYDROXYTRYPTOPH,,,,,,,,,,,,,,,
10147958,38779030208,500     ,1,1852500,46800,0,46800,N,piroxicam,MISCELL POWDER 100 %,PIROXICAM USP PWD,500 GM DS,,,,,,,,,,,,,500000.0,,
10147963,38779076905,100     ,1,241590,10350,0,10350,N,pregnenolone,MISCELL POWDER,PREGNENOLONE PWD,100 GM DS,,,,,,,,,,,,,100000.0,,
10148008,38779076908,500     ,1,1207950,44010,0,44010,N,pregnenolone,MISCELL POWDER,PREGNENOLONE PWD,500 GM DS,,,,,,,,,,,,,500000.0,,
10147982,38779087509,1000    ,1,427500,16740,0,16740,N,riboflavin (vitamin,B2) MISCEL,RIBOFLAVIN USP (VITAMINB,2) PWD,,,,,,,,,,,,,,,
10147988,38779087508,500     ,1,213750,9720,0,9720,N,riboflavin (vitamin,B2) MISCEL,RIBOFLAVIN USP (VITAMINB,2) PWD,,,,,,,,,,,,,,,
10147978,38779009508,500     ,1,119866,7476,11214,7476,N,saccharin sodium,ORAL POWDER 1,SACCHARIN SODIUM USP PWD,500 G,,,,,,,,,,,,,500000.0,,
10147998,38779009701,2500    ,1,64250,6468,9702,6468,N,corn starch,MISCELL POWDER,STARCH NF (CORN) PWD,2500 GM D,,,,,,,,,,,,,2500000.0,,
10147979,38779051901,2500    ,1,74750,2843,4265,2843,N,talc,MISCELL POWDER 100 %,TALC USP PWD,2500 GM DS,,,,,,,,,,,,,2500000.0,,
10147997,38779056609,1000    ,1,49896,41580,0,41580,N,tetracaine,HCl MISCELL POWDER,TETRACAINE HYDROCHLORID USP PW,,,,,,,,,,,,,,,,
10147966,38779037409,1000    ,1,2707500,78750,0,78750,N,tetracaine,MISCELL WAX 100 %,TETRACAINE USP PWD UD,1000 GM,,,,,,,,,,,,,1000000.0,,
10147964,38779196305,100     ,1,29070,2970,0,2970,N,thiamine,HCl MISCELL POWDER,THIAMINE HCL USP (VITAMIN B,1)P,,,,,,,,,,,,,,,
10148009,38779031904,25      ,1,665238,34650,0,34650,N,tobramycin sulfate,MISCELL POW,TOBRAMYCIN SULFATE USP PWD,25,,,,,,,,,,,,,,,
10148021,38779276309,1000    ,1,495920,35730,0,35730,N,levocarnitine,MISCELL POWDER,CARNITINE (L) USP PWD,1000 GM,,,,,,,,,,,,,1000000.0,,
10148026,38779032503,5000    ,1,4218594,266220,0,266220,N,cimetidine,MISCELL POWDER,CIMETIDINE USP PWD,5000 GM DS,,,,,,,,,,,,,5000000.0,,
10148025,38779086909,1000    ,1,12112500,277637,0,277637,N,estradiol micronized,MISCELL P,ESTRADIOL USP (MICRONIZED) PWD,,,,,,,,,,,,,,,,
10147916,38779263205,100     ,1,16440,3181,4772,3181,N,methionine,MISCELL POWDER,METHIONINE (L) USP PWD,100 GM,,,,,,,,,,,,,100000.0,,
10147918,38779015408,500     ,1,2460500,114750,0,114750,N,prednisone micronized,MISCELL,PREDNISONE USP(ANHYD)(MICRO)PW,,,,,,,,,,,,,,,,
10148024,38779000105,100     ,1,1634000,110000,0,110000,N,tretinoin,MISCELL POWDER,TRETINOIN USP(RETINOIC ACID)PW,,,,,,,,,,,,,,,,
10148029,38779263601,2500    ,1,800000,22967,34451,22967,N,gel base no.72,TOPICAL GEL (GR,VERSAPRO GEL BASE LIQ,2500 GM,,,,,,,,,,,,,2500000.0,,
10025281,00023916360,60X0.4  ,1,77476,61305,0,64563,C,cyclosporine,OPHTHALMIC DROPER,RESTASIS,0.05 % VL 60X0.4 ML U,0.05,,,,,,,,,,,,,0.4,
10025297,48582000155,1.5     ,1,624,493,740,562,C,saliva stimulant comb. no.3,MU,BIOTENE DRY MOUTH MOIST SPRAY ,,,,,,,,,,,,,,,,
10025298,00409114402,5X4     ,1,19396,2590,0,16163,C,verapamil,HCl INTRAVEN VIAL 2.,VERAPAMIL HCL,10 MG SDV 5X4 ML,,,,,,,,,,,,,10.0,4.0,
10025301,00409115901,25X10   ,1,5393,3878,0,4494,C,bupivacaine,HCl/PF INJECTION V,BUPIVACAINE HCL PF,0.25% SDV 2,0.25,,,,,,,,,,,,,,
10025302,00409115902,25X30   ,1,5527,3971,0,4606,C,bupivacaine,HCl/PF INJECTION V,BUPIVACAINE HCL PF,0.25% SDV 2,0.25,,,,,,,,,,,,,,
10025303,00409116001,25X50   ,1,9680,6787,0,8067,C,bupivacaine,HCl INJECTION VIAL,BUPIVACAINE HCL,0.25% MDV 25X5,0.25,,,,,,,,,,,,,,
10025305,10119000252,4       ,1,288,363,545,330,N,sod borate/boric ac/water/,NaCl,BAUSCH+LOMB ADV EYE RLF EYE WA,,,,,,,,,,,,,,,,
10025311,00409116201,25X10   ,1,6298,4525,0,5248,C,bupivacaine,HCl/PF INJECTION V,BUPIVACAINE HCL PF,0.5% SDV 25,0.5,,,,,,,,,,,,,,
10025312,00409116202,25X30   ,1,6097,4386,0,5081,C,bupivacaine,HCl/PF INJECTION V,BUPIVACAINE HCL PF,0.5% SDV 25,0.5,,,,,,,,,,,,,,
10148112,64380072306,100     ,1,12095,2229,0,2710,C,calcitriol,ORAL CAPSULE 0.25 M,CALCITRIOL,0.25 MCG CAP 100,,0.25,,,,,,,,,,,,,
10148116,64380072406,100     ,1,19338,3490,0,4244,C,calcitriol,ORAL CAPSULE 0.5 MC,CALCITRIOL,0.5 MCG CAP 100,,0.5,,,,,,,,,,,,,
10148110,00054039063,500     ,1,14250,10526,0,11400,N,oxycodone,HCl ORAL SOLUTION 5,OXYCODONE HCL,5 MG/5 ML ORAL S,,,,,,,,,,,,,5.0,5.0,
10148111,65862014905,500     ,1,156325,3830,0,6500,C,finasteride,ORAL TABLET 5 MG,FINASTERIDE,5 MG TAB 500,,,,,,,,,,,,,5.0,,
10025316,00409116301,25X50   ,1,8106,5230,0,6755,C,bupivacaine,HCl INJECTION VIAL,BUPIVACAINE HCL,0.5% MDV 25X50,0.5,,,,,,,,,,,,,,
10025318,00591288401,100     ,1,20636,12410,0,17196,C,verapamil,HCl ORAL CAP24H PEL,VERAPAMIL,240 MG ER CAP 100,,,,,,,,,,,,,240.0,,
10025320,00409116501,25X10   ,1,6700,4478,0,5583,C,bupivacaine,HCl/PF INJECTION V,BUPIVACAINE HCL PF,0.75% SDV 2,0.75,,,,,,,,,,,,,,
10147935,49884027082,4       ,1,85116,65490,0,70930,N,cyanocobalamin (vitamin,B-12),NASCOBAL NAS SPY,500MCG 4X0.12,,500.0,,,,,,,,,,,,,
10025321,00409116502,25X30   ,1,10954,7511,0,9128,C,bupivacaine,HCl/PF INJECTION V,BUPIVACAINE HCL PF,0.75% SDV 2,0.75,,,,,,,,,,,,,,
10148144,64896066101,100     ,1,49858,38362,0,41548,N,carbidopa/levodopa,ORAL CAPSUL,RYTARY,23.75MG/95MG CAP 100,,,,,,,,,,,,,23.75,,
10148142,64896066201,100     ,1,49858,38362,0,41548,N,carbidopa/levodopa,ORAL CAPSUL,RYTARY,36.25MG/145MG CAP 100,,,,,,,,,,,,,36.25,,
10025326,00409120703,25X2    ,1,6601,4871,0,5501,C,gentamicin sulfate,INJECTION V,GENTAMICIN,80 MG FTV 25X2 ML,,,,,,,,,,,,,80.0,2.0,
10148141,64896066301,100     ,1,49858,38362,0,41548,N,carbidopa/levodopa,ORAL CAPSUL,RYTARY,48.75MG/195MG CAP 100,,,,,,,,,,,,,48.75,,
10148057,64896066401,100     ,1,62650,48204,0,52208,N,carbidopa/levodopa,ORAL CAPSUL,RYTARY,61.25MG/245MG CAP 100,,,,,,,,,,,,,61.25,,
10025327,00409120901,10X5    ,1,6510,1921,0,5425,C,lidocaine,HCl/epinephrine/PF I,LIDOCAINE HCL-EPI,1.5% AMP 10X,1.5,,,,,,,,,,,,,,
10025328,00409121501,10X1    ,1,18996,2678,0,15830,C,naloxone,HCl INJECTION VIAL 0.,NALOXONE,0.4 MG SDV 10X1 ML,,,,,,,,,,,,,0.4,1.0,
10025330,17191007160,25      ,1,0,3539,5309,3970,C,oral dosing devices,MISCELL DI,SYG ORAL PHCY,60ML PK/CLR 25,,,,,,,,,,,,,,60.0,
10025334,00409146501,10X1    ,1,8363,5946,0,6969,C,nalbuphine,HCl INJECTION AMPUL,NALBUPHINE,20 MG/ML AMP 10X1 M,,,,,,,,,,,,,20.0,,
10148126,00093645056,30      ,1,25568,1417,0,1534,N,esomeprazole magnesium,ORAL CA,ESOMEPRAZOLE MAGNESIUM,20 MG D,,,,,,,,,,,,,20.0,,
10148129,00093645098,90      ,1,76700,4250,0,4602,N,esomeprazole magnesium,ORAL CA,ESOMEPRAZOLE MAGNESIUM,20 MG D,,,,,,,,,,,,,20.0,,
10148128,00093645156,30      ,1,25568,1417,0,1534,N,esomeprazole magnesium,ORAL CA,ESOMEPRAZOLE MAGNESIUM,40 MG D,,,,,,,,,,,,,40.0,,
10148127,00093645198,90      ,1,76700,4250,0,4602,N,esomeprazole magnesium,ORAL CA,ESOMEPRAZOLE MAGNESIUM,40 MG D,,,,,,,,,,,,,40.0,,
10148139,00904640161,100     ,1,42089,2345,0,4445,C,tamsulosin,HCl ORAL CAPSULE 0.,TAMSULOSIN HCL,0.4 MG CAP 100,,,,,,,,,,,,,0.4,,
10148232,00597016490,90      ,1,213588,147905,0,177990,C,empagliflozin/linagliptin,ORAL,GLYXAMBI,25MG/5MG TAB 90,,,,,,,,,,,,,25.0,,
10148173,00597016430,30      ,1,71196,49302,0,59330,C,empagliflozin/linagliptin,ORAL,GLYXAMBI,25MG/5MG TAB 30,,,,,,,,,,,,,25.0,,
10148174,00597018290,90      ,1,213588,147905,0,177990,C,empagliflozin/linagliptin,ORAL,GLYXAMBI,10MG/5MG TAB 90,,,,,,,,,,,,,10.0,,
10148167,00597018230,30      ,1,71196,49302,0,59330,C,empagliflozin/linagliptin,ORAL,GLYXAMBI,10MG/5MG TAB 30,,,,,,,,,,,,,10.0,,
10148223,54123098630,30      ,1,52998,40778,0,44165,N,buprenorphine,HCl/naloxone HCl,ZUBSOLV,8.6MG/2.1MG TAB 30,,,,,,,,,,,,,8.6,,
10025346,00409196605,25X20   ,1,3826,2209,0,3188,C,bacteriostatic sodium chloride,,SODIUM CHLORIDE BACT,0.9% VL 2,0.9,,,,,,,,,,,,,,
10148168,00536105556,42.5    ,1,568,187,281,360,C,benzoyl peroxide,TOPICAL GEL (,BENZOYL PEROXIDE,5% 42.5GM GEL,5.0,,,,,,,,,,,,42500.0,,
10148169,00536106139,8       ,1,397,175,263,250,C,menthol,TOPICAL GEL (GRAM) 2 %,BLUE GEL MUSCLE RELIEF,8OZ RUG,,,,,,,,,,,,,226796.0,,
10148065,00013111421,10X10   ,1,24000,4063,0,20000,C,tranexamic acid,INTRAVEN VIAL,CYKLOKAPRON,1000 MG SDV 10X10,,,,,,,,,,,,,1000.0,,
10025347,00409401101,5X2     ,1,10981,5720,0,9151,C,verapamil,HCl INTRAVEN AMPUL 2,VERAPAMIL HCL,5 MG AMP 5X2 ML,,,,,,,,,,,,,5.0,2.0,
10148157,68382007901,100     ,1,10238,4061,0,6246,C,haloperidol,ORAL TABLET 5 MG,HALOPERIDOL,5MG 100 TABS,,,,,,,,,,,,,5.0,,
10025356,74312007580,60      ,1,552,613,920,557,N,multivit-min/folic acid/biotin,,MULTI SKIN HAIR NAIL TAB,60CT,,,,,,,,,,,,,,,
10148282,68382007910,1000    ,1,102375,28818,0,62182,C,haloperidol,ORAL TABLET 5 MG,HALOPERIDOL,5MG 1000 TABS,,,,,,,,,,,,,5.0,,
10148158,67877025130,30      ,1,965,501,0,610,C,triamcinolone acetonide,TOPICA,TRIAMCINOLONE ACETONIDE,0.1% C,0.1,,,,,,,,,,,,,,
10148314,47335093244,10      ,1,20400,7165,0,17000,C,vecuronium bromide,INTRAVEN VI,VECURONIUM BROMIDE,20 MG VL 10,,,,,,,,,,,,,20.0,,
10148284,93764060336,        ,1,6999,3844,5766,3844,N,blood pressure test kit-medium,,B/P DIG AUTO WIDE CUFF NO AC U,,,,,,,,,,,,,,,,
10148285,24338053025,250     ,1,58859,44382,0,49049,C,sotalol,HCl ORAL SOLUTION 5 MG,SOTYLIZE,5MG/ML ORAL SOLUTION,,,,,,,,,,,,,5.0,,
10148287,24338053048,480     ,1,113011,85214,0,94176,C,sotalol,HCl ORAL SOLUTION 5 MG,SOTYLIZE,5MG/ML ORAL SOLUTION,,,,,,,,,,,,,5.0,,
10148273,66758011001,100     ,1,5364,2879,0,4291,C,potassium chloride,ORAL TABLET,KLOR CON,8 MEQ 600MG TAB 100,,,,,8.0,,,,,,,,600.0,,
10148274,66758017013,100     ,1,6175,2910,0,4943,C,potassium chloride,ORAL TAB ER,KLOR CON,10 MEQ 750MG TAB 100,,,,,10.0,,,,,,,,750.0,,
10148333,68084084401,100     ,1,20004,3822,0,8578,C,venlafaxine,HCl ORAL TABLET 37,VENLAFAXINE,37.5MG 100 UD TABS,,,,,,,,,,,,,37.5,,
10148178,68084085601,100     ,1,21849,5517,0,9359,C,venlafaxine,HCl ORAL TABLET 75,VENLAFAXINE,75MG 100 UD TABS A,,,,,,,,,,,,,75.0,,
10148248,62991140503,1       ,1,584000,63000,0,63000,N,fentanyl citrate,MISCELL POWDE,FENTANYL CITRATE PWD,1 GM DS,,,,,,,,,,,,,1000.0,,
10148350,62991140504,5       ,1,2920000,203700,0,203700,N,fentanyl citrate,MISCELL POWDE,FENTANYL CITRATE PWD,5 GM DS,,,,,,,,,,,,,5000.0,,
10148246,62991160005,100     ,1,645000,45500,0,45500,N,betahistine,HCl MISCELL POWDER,BETAHISTINE HCL PWD,100 GM DS,,,,,,,,,,,,,100000.0,,
10148242,62991275902,100     ,1,11800,1900,0,1900,N,leucine,MISCELL POWDER,L-LEUCINE USP PWD,100 GM DS,,,,,,,,,,,,,100000.0,,
10148245,62991218501,25      ,1,62250,8900,0,8900,N,ursodiol,MISCELL POWDER 100 %,URSODIOL USP PWD,25 GM DS,,,,,,,,,,,,,25000.0,,
